Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Beli Polis,Chrome 109.0.0.0,,,2023-01-12 18:25:10,2023-01-12 18:26:10,59.369s,PASSED
,,,,,,,
Test Cases/Beli Polis/Beli Polis,Chrome 109.0.0.0,,,2023-01-12 18:25:11,2023-01-12 18:25:57,46.701s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-01-12 18:25:11,2023-01-12 18:25:15,3.888s,PASSED
"navigateToUrl(""https://jagahujan.ptape.com/"")",Chrome 109.0.0.0,,,2023-01-12 18:25:15,2023-01-12 18:25:16,1.037s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-01-12 18:25:16,2023-01-12 18:25:16,0.167s,PASSED
"click(findTestObject(""Object Repository/Beli Polis/a_Beli Sekarang""))",Chrome 109.0.0.0,,,2023-01-12 18:25:16,2023-01-12 18:25:18,1.748s,PASSED
"setText(findTestObject(""Object Repository/Beli Polis/input__input-213""), ""1216625607000021"")",Chrome 109.0.0.0,,,2023-01-12 18:25:18,2023-01-12 18:25:20,1.834s,PASSED
"setText(findTestObject(""Object Repository/Beli Polis/input__input-216""), ""Frisda"")",Chrome 109.0.0.0,,,2023-01-12 18:25:20,2023-01-12 18:25:21,1.301s,PASSED
"click(findTestObject(""Object Repository/Beli Polis/input__input-220""))",Chrome 109.0.0.0,,,2023-01-12 18:25:21,2023-01-12 18:25:22,0.945s,PASSED
"click(findTestObject(""Object Repository/Beli Polis/li_2001""))",Chrome 109.0.0.0,,,2023-01-12 18:25:22,2023-01-12 18:25:23,0.882s,PASSED
"click(findTestObject(""Object Repository/Beli Polis/button_Jul""))",Chrome 109.0.0.0,,,2023-01-12 18:25:23,2023-01-12 18:25:24,0.800s,PASSED
"click(findTestObject(""Object Repository/Beli Polis/button_16""))",Chrome 109.0.0.0,,,2023-01-12 18:25:24,2023-01-12 18:25:24,0.811s,PASSED
"setText(findTestObject(""Object Repository/Beli Polis/textarea__input-7-4""), ""Jakarta Selatan"")",Chrome 109.0.0.0,,,2023-01-12 18:25:24,2023-01-12 18:25:26,1.312s,PASSED
"setText(findTestObject(""Object Repository/Beli Polis/input__input-226""), ""82167906144"")",Chrome 109.0.0.0,,,2023-01-12 18:25:26,2023-01-12 18:25:27,1.383s,PASSED
"scrollToElement(findTestObject(""Beli Polis/span_Selanjutnya""), 5)",Chrome 109.0.0.0,,,2023-01-12 18:25:27,2023-01-12 18:25:28,0.857s,PASSED
"click(findTestObject(""Object Repository/Beli Polis/div__v-input--selection-controls__ripple""))",Chrome 109.0.0.0,,,2023-01-12 18:25:28,2023-01-12 18:25:28,0.508s,PASSED
"setText(findTestObject(""Object Repository/Beli Polis/input__input-237""), ""frisda.sianipar@gmail.com"")",Chrome 109.0.0.0,,,2023-01-12 18:25:28,2023-01-12 18:25:30,1.295s,PASSED
"click(findTestObject(""Object Repository/Beli Polis/input__input-240""))",Chrome 109.0.0.0,,,2023-01-12 18:25:30,2023-01-12 18:25:31,0.826s,PASSED
"click(findTestObject(""Object Repository/Beli Polis/div_Perempuan""))",Chrome 109.0.0.0,,,2023-01-12 18:25:31,2023-01-12 18:25:31,0.567s,PASSED
